Place,No,Name,Club,Time
1,725,Ciara Durkan,Skerries A.C.,17.26
2,686,Orla Drumm,Crusaders A.C.,17.32
3,694,Sarah Mulligan, DSD,17.32
4,713,Barbara Cleary,Donore Harriers,17.49
5,693,Michelle Magee, DSD,18.00
6,684,Maria O'Sullivan,Raheny Shamrock A.C.,18.15
7,692,Caroline Crowley,Crusaders A.C.,18.37
8,711,Aislinn Nicdhomhnaill,Donore Harriers,18.54
9,705,Leona Oâ€™Reilly,Liffey Valley A.C.,19.04
10,696,Meghan Ryan.,DSD,19.09
11,685,Siobhan Eviston,Raheny Shamrock A.C.,19.13
12,712,Anne Curley,Donore Harriers,19.20
13,687,Ilona McElroy,Crusaders A.C.,19.33
14,691,Irene Gorman,Crusaders A.C.,19.44
15,688,Yvonne McAuley,Crusaders A.C.,19.50
16,683,Karen Crossan,Raheny Shamrock A.C.,19.53
17,690,Orla Ni Mhuircheartaigh,Crusaders A.C.,19.58
18,689,Catherine Thornton,Crusaders A.C.,20.01
19,717,Sorcha Nicdhomhnaill,Donore Harriers,20.02
20,708,Aileen Gittens,Liffey Valley A.C.,20.02
21,707,Sile Carroll,Liffey Valley A.C.,20.11
22,706,Siobhan Keenehan,Liffey Valley A.C.,20.13
23,714,Grace Kennedy.,Donore Harriers,20.19
24,709,Geraldine Feely ,Liffey Valley A.C.,21.35
25,681,Orla Manley,Raheny Shamrock A.C.,22.18
26,682,Denise Kelleher ,Raheny Shamrock A.C.,23.06
