ID,Time,Pos,Name,Team Name,Team Scoring,County
1116,26:31:00,1,Brady Liam,Tullamore Harriers A.C.,Tullamore Harriers A.C.,Offaly
1045,26:52:00,2,Rennicks Darragh,Bohermeen A.C.,Bohermeen A.C.,
1123,26:57:00,3,Duffy Conor,Glaslough Harriers A.C.,,
1086,27:10:00,4,Thistlewood Ben,Leevale A.C.,Leevale A.C.,Cork
1014,27:13:00,5,Scanlon David,Rathfarnham W.S.A.F. A.C.,Rathfarnham W.S.A.F. A.C.,Dublin
1131,27:16:00,6,Moran Thomas,Dunshaughlin A.C.,,
1134,27:18:00,7,McCormack Niall,Clonmel A.C.,,
1002,27:26:00,8,Harty Michael,East Cork A.C.,East Cork A.C.,Cork
1068,27:35:00,9,Keogh Eric,Donore Harriers,Donore Harriers,Dublin
1127,27:42:00,10,Lupton Harry,Portlaoise A.C.,,
1069,27:49:00,11,McMahon Michael,Donore Harriers,Donore Harriers,Dublin
1078,27:56:00,12,Greaney John,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
1015,27:59:00,13,Cronin Karol,Sportsworld A.C.,Sportsworld A.C.,Dublin
1128,28:01:00,14,Maunsell William,Clonmel A.C.,,
1085,28:05:00,15,Shine John,Leevale A.C.,Leevale A.C.,Cork
1087,28:12:00,16,Arthur Peter,Liffey Valley A.C.,Liffey Valley A.C.,Dublin
1126,28:15:00,17,Hunter Stephen,St. Michael's AC,,
1079,28:17:00,18,Casey Owen,Leevale A.C.,Leevale A.C.,Cork
1004,28:22:00,19,Kelleher Kenneth,East Cork A.C.,East Cork A.C.,Cork
1082,28:23:00,20,Mannix Anthony,Leevale A.C.,Leevale A.C.,Cork
1081,28:40:00,21,Curran Eric,Leevale A.C.,Leevale A.C.,Cork
1133,28:41:00,22,O' Rourke Neil,Civil Service A.C.,,
1057,28:46:00,23,Coghlan Alban,Crusaders A.C.,Crusaders A.C.,
1098,28:47:00,24,O'Neill Shane,Rathfarnham W.S.A.F. A.C.,Rathfarnham W.S.A.F. A.C.,
1124,28:50:00,25,Fitzpatrick Cormac,Ballyfin A.C.,,
1058,29:06:00,26,Collins Shane,Crusaders A.C.,Crusaders A.C.,
1016,29:13:00,27,Murran Gareth,Sportsworld A.C.,Sportsworld A.C.,Dublin
1062,29:16:00,28,Kiely Michael,Crusaders A.C.,Crusaders A.C.,
1109,29:19:00,29,Finlay Gavin,Sportsworld A.C.,Sportsworld A.C.,Dublin
1094,29:19:00,30,Morgan Chris,Liffey Valley A.C.,Liffey Valley A.C.,Dublin
1097,29:21:00,31,Majorlet Patrick,Rathfarnham W.S.A.F. A.C.,Rathfarnham W.S.A.F. A.C.,
1008,29:24:00,32,Coakley Donal,Togher A.C.,,Cork
1061,29:41:00,33,Kehoe Jason,Crusaders A.C.,Crusaders A.C.,
1034,29:43:00,34,Berry Padraig,Tullamore Harriers A.C.,Tullamore Harriers A.C.,Offaly
1059,29:45:00,35,Cross Rob,Crusaders A.C.,Crusaders A.C.,
1092,29:50:00,36,Curran Gavin,Liffey Valley A.C.,Liffey Valley A.C.,
1080,29:58:00,37,Comber David,Leevale A.C.,Leevale A.C.,
1038,30:03:00,38,Fox David,Tullamore Harriers A.C.,Tullamore Harriers A.C.,Offaly
1043,30:04:00,39,Croal Derek,Bohermeen A.C.,Bohermeen A.C.,
1130,30:06:00,40,Moore Kevin,Dundrum A.C.,,
1093,30:07:00,41,Geoghegan Pierce,Liffey Valley A.C.,Liffey Valley A.C.,
1005,30:15:00,42,Cronin Mark,St. Finbarrs A.C.,St. Finbarrs A.C.,Cork
1100,30:18:00,43,Magee Paul,Shercock A.C.,Shercock A.C.,
1102,30:22:00,44,Reilly Michael,Shercock A.C.,Shercock A.C.,
1064,30:23:00,45,O'Connor Michael,Crusaders A.C.,Crusaders A.C.,
1088,30:27:00,46,Beere Brendan,Liffey Valley A.C.,Liffey Valley A.C.,
1070,30:28:00,47,O'Briain Emmet,Donore Harriers,Donore Harriers,
1099,30:47:00,48,Powell Donagh,Rathfarnham W.S.A.F. A.C.,Rathfarnham W.S.A.F. A.C.,
1071,30:53:00,49,O'Callaghan Paul Pio,Donore Harriers,Donore Harriers,
1089,30:56:00,50,Benjecar Arnaud,Liffey Valley A.C.,Liffey Valley A.C.,
1095,31:00:00,51,Reilly Ciaran,Liffey Valley A.C.,Liffey Valley A.C.,Dublin
1106,31:09:00,52,Curran Kevin,Sportsworld A.C.,Sportsworld A.C.,
1121,31:14:00,53,Byrne Raymond,Sligo A.C.,,
1111,31:16:00,54,McCarty Conor,Sportsworld A.C.,Sportsworld A.C.,
1122,31:35:00,55,Currid Darragh,North Sligo A.C.,,
1022,31:41:00,56,Cronin John,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
1103,31:42:00,57,Whelan John,Shercock A.C.,Shercock A.C.,
1091,31:42:00,58,Corri Stephen,Liffey Valley A.C.,Liffey Valley A.C.,
1129,31:42:00,59,Mooney Martin,Inishowen A.C.,,
1105,31:47:00,60,Chatterton Karl,Sportsworld A.C.,Sportsworld A.C.,
1104,32:05:00,61,Brady James,Sportsworld A.C.,Sportsworld A.C.,
1019,32:41:00,62,Feehly Eugene,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
1110,32:47:00,63,Greensmyth William,Sportsworld A.C.,Sportsworld A.C.,
1112,32:48:00,64,Small Mark,Sportsworld A.C.,Sportsworld A.C.,
1074,32:48:00,65,O'Dwyer David,East Cork A.C.,East Cork A.C.,
1101,33:15:00,66,McGuinness Kevin,Shercock A.C.,Shercock A.C.,
1020,33:17:00,67,Mellgren Emil,Galway City Harriers A.C.,Galway City Harriers A.C.,Galway
135,33:26:00,68,Geoghegan Stephen,St. Finbarrs A.C.,St. Finbarrs A.C.,
1115,33:32:00,69,Leonard David,St. Finbarrs A.C.,St. Finbarrs A.C.,
1113,33:33:00,70,Butler David,St. Finbarrs A.C.,St. Finbarrs A.C.,
1096,33:36:00,71,Reilly Conor,Liffey Valley A.C.,Liffey Valley A.C.,
1037,33:45:00,72,Farrell Rory,Tullamore Harriers A.C.,Tullamore Harriers A.C.,Offaly
1025,34:02:00,73,Noone David,Athenry A.C.,,Galway
1108,34:36:00,74,Telford Tim,Sportsworld A.C.,Sportsworld A.C.,
1036,35:52:00,75,Dalton Clive,Tullamore Harriers A.C.,Tullamore Harriers A.C.,Offaly
1039,36:18:00,76,Mann Eugene,Tullamore Harriers A.C.,Tullamore Harriers A.C.,Offaly
